clean_text,gold_label,pred_label,pred_label_text,raw_output
interesting for real this is really awesome looking,2,2,Positive,"{""label"": ""Positive""}"
why can i hear my little sister arguing with people on pubg,3,0,Negative,"{""label"": ""Negative""}"
i knew home depot was so fucking toxic when i d be told you re not doing your job how we want you to but when a customer wanted to reward my services and tell the managers they d be like ok and,0,0,Negative,"{""label"": ""Negative""}"
git gud head sniping community probably,3,0,Negative,"{""label"": ""Negative""}"
it s been a year and a half since red dead redemption came out and i finally have time to play it now it has completely sucked away days of my life now very worth it,2,2,Positive,"{""label"": ""Positive""}"
i like the idea behind this and whah it stands for but don t see this working,0,1,Neutral,"{""label"": ""Neutral""}"
anyone who thinks that otherwise perfectly quality media can t be ruined by it s message ethos or aesthetic needs to sit down and explain why they don t like the call of duty games especially if they re a shooter fan,0,0,Negative,"{""label"": ""Negative""}"
facts king talk that shit so much they dont notice,1,0,Negative,"{""label"": ""Negative""}"
best of luck,2,2,Positive,"{""label"": ""Positive""}"
should make cross play a thing in the next madden also gift sending streamers would love this and it would help promote the game more with more youtubers being able to send gifts cross platform,0,2,Positive,"{""label"": ""Positive""}"
i am very interested in this,2,2,Positive,"{""label"": ""Positive""}"
ryan makes me feel like such a baby i love it i love him so much i just wanna feed him a burrito bowl and hold his hand and suck him off while he plays overwatch and go on cute culvers dates w him aaaahhh im in fucking love,3,2,Positive,"{""label"": ""Positive""}"
oh dear i m pleased i m over pic twitter com mngnh jlro,3,2,Positive,"{""label"": ""Positive""}"
year olds trading on the stock market is scary news it can instill good financial habits curiosity but equally high chances of it going the opposite way seeding gambling tendencies heavy losses from trading f os or worse this becoming the next blue whale not worth it,3,0,Negative,"{""label"": ""Negative""}"
ok i m blocking this man s he is on a new level of being,3,0,Negative,"{""label"": ""Negative""}"
how to impress indian girl sahilyaduvanshi in love at first,3,2,Positive,"{""label"": ""Positive""}"
update i actually finished odyssey i wish the three ponged questline structure was communicated a bit more clearly but that game is a lot of fun once it hits its stride twitter com iv javy status,2,2,Positive,"{""label"": ""Positive""}"
first we had code leaf and now we have the pleasure to present code shoe thx pic twitter com gtabw jhp,2,2,Positive,"{""label"": ""Positive""}"
on borderlands two there is a fucking dragon someone help me,1,0,Negative,"{""label"": ""Negative""}"
finally played rainbow six siege for the first time i have to admit i prefer it over pulling my hair out in csgo any day,0,2,Positive,"{""label"": ""Positive""}"
watching nvidia position itself as not just a leading hardware manufacturer but also providing meaningful software to consumers is a remarkable thing of beauty what an incredibly lead company with clear focus and goals well done,2,2,Positive,"{""label"": ""Positive""}"
holy smokes i m really enjoying my libram paladin only deck youtu be xjo nvywqa,2,2,Positive,"{""label"": ""Positive""}"
the professional dota scene is fucking exploding and i completely welcome it get the garbage out,2,0,Negative,"{""label"": ""Negative""}"
fifa is honestly the biggest pile of shit excuse for a game ever created the game is played at miles an hour slow clap for ea,0,0,Negative,"{""label"": ""Negative""}"
man nothing makes me feel dumber than trying to play hearthstone,0,0,Negative,"{""label"": ""Negative""}"
morning i m split on playing pso or borderlands for todays stream either way a stream today is happening and i m excited to hang out nonetheless hope your weekend was well pic twitter com x crvuk pq,1,2,Positive,"{""label"": ""Positive""}"
the next one is borderlands the handsome collection you re welcome,2,2,Positive,"{""label"": ""Positive""}"
i can get on the phone with but i can t get on the phone with you have to be kidding me pic twitter com akem uwz q,2,0,Negative,"{""label"": ""Negative""}"
i d love to bring home a new xbox series x but they are all sold out so the emails are very misleading just sayin,2,0,Negative,"{""label"": ""Negative""}"
i made a fortnite montage for you,3,2,Positive,"{""label"": ""Positive""}"
when i first pre ordered it said standard would get to play days early now only the other version thanks a lot smh,0,0,Negative,"{""label"": ""Negative""}"
fuck fortnite yes i rage quit,0,0,Negative,"{""label"": ""Negative""}"
i was inspired by to get assassins creed on switch and now i couldn t be more excited to leave the party early to go home and play black flag pic twitter com yhrybjdynn,2,2,Positive,"{""label"": ""Positive""}"
call of duty logic nerfs the m times keeps helicopter makes akimbo stupid cheating,0,0,Negative,"{""label"": ""Negative""}"
na pc come vibe with me messing around in gta twitter twitch tv milzzz ttd,3,2,Positive,"{""label"": ""Positive""}"
the next major update pays tribute to one of world of warcraft s best expansions denofgeek com games hearthst,1,2,Positive,"{""label"": ""Positive""}"
its game day for microsoft and years old waiting an entire generation for a comeback i hope they hit a grandslam,2,2,Positive,"{""label"": ""Positive""}"
can you waive some data overage charges been tough for folks out here,0,1,Neutral,"{""label"": ""Neutral""}"
i need this in my life so badly,3,2,Positive,"{""label"": ""Positive""}"
all the yo s shitting on me in fortnite catch me irl i swear i ll rock yo shit,3,2,Positive,"{""label"": ""Positive""}"
red dead redemption now live on twitch tv marcel kiefer,1,1,Neutral,"{""label"": ""Neutral""}"
johnson johnson medical devices companies is honored to recognize the dedication of perioperative registered nurses join us to discuss resilience and stress management register here bit ly cgpab and that changes everything,1,2,Positive,"{""label"": ""Positive""}"
whos ready for some zombie royale warzone stream tonight head over to twitch tv justgln give us a follow and turn notifications on to not miss out on the fun,1,2,Positive,"{""label"": ""Positive""}"
is a social enterprise that uses esports to help at risk youth get off the streets improve their mental health throw some love their way by following them,1,2,Positive,"{""label"": ""Positive""}"
this is your game own up to this crap,0,0,Negative,"{""label"": ""Negative""}"
solo q and this freak is spinning as fast as he can to lower the fps i thought they took this bs out,1,0,Negative,"{""label"": ""Negative""}"
really good in depth video highly recommend,3,2,Positive,"{""label"": ""Positive""}"
definitely getting this,3,2,Positive,"{""label"": ""Positive""}"
your customer service is atrocious impact driver not fixed after weeks being given the run around on lsa service agreement even w documentation in hand,0,0,Negative,"{""label"": ""Negative""}"
any chance i could get a list of the maps for the new pubg tdm i can t seem to find a good list anywhere,0,1,Neutral,"{""label"": ""Neutral""}"
the iphone needs to hurry up cause i need to get it with cause is trash ever since the merger with like my speed is from the middle ages,2,0,Negative,"{""label"": ""Negative""}"
sound on enjoy the groove and this little montage i made in tribute to the desert eagle the most powerful badass secondary weapon ever,3,2,Positive,"{""label"": ""Positive""}"
is our illiterate community thinks pubg game is a killer then they must ban all the knives guns limit vehicle speed to km h and all the buildings in the country should be less than ft height because they also cause thousands of deaths per year,2,0,Negative,"{""label"": ""Negative""}"
woooooo just hit gold rank in nice job man stop by and check him out sometime,1,2,Positive,"{""label"": ""Positive""}"
yo fuck your fake ass garbage ass game,0,0,Negative,"{""label"": ""Negative""}"
five african matches you would love to see from fifa googlehits com worldcupathome,2,1,Neutral,"{""label"": ""Neutral""}"
activision confirms that s call of duty title is black ops cold war know your history or be doomed to repeat it dlvr it rf vsg,1,2,Positive,"{""label"": ""Positive""}"
shipped first gpu enabled production code through makes it easy to passthrough host hardware and drivers while bravetools abstracts configuration and makes it easy to automate for all future releases github com bravetools bra,1,2,Positive,"{""label"": ""Positive""}"
i tried to do some of purple invasion stuff tonight but it just turned me into the sha of anger so i did mog dungeon runs instead which included a sort of family reunion pic twitter com yfog nkjtd,1,1,Neutral,"{""label"": ""Neutral""}"
and the us wants to trust this company with a vaccine johnson johnson knew for decades that asbestos lurked in some of its baby powder nbcnews com health health,0,0,Negative,"{""label"": ""Negative""}"
fucking finally,2,2,Positive,"{""label"": ""Positive""}"
lol i was looking for something to listen to that was upbeat for and the first recommendation was my heart will go on nice job google,2,2,Positive,"{""label"": ""Positive""}"
i miss when hearthstone was simpler,0,0,Negative,"{""label"": ""Negative""}"
everyone know the story of true life long friendship but not everyone knows how big chunk of your life is missing when those ends for some reason big thanks for filling that void with great vibes and conversations,3,2,Positive,"{""label"": ""Positive""}"
how ya coming how i fix this bs pic twitter com j j jk o e,0,0,Negative,"{""label"": ""Negative""}"
welp s immersive update got delayed until later next month pic twitter com rqk e fe,0,0,Negative,"{""label"": ""Negative""}"
i just earned the that s val sharah folks achievement pic twitter com pj lujuver,1,2,Positive,"{""label"": ""Positive""}"
played this interesting quiz on amazon try your luck for a chance to win exciting rewards amazon in game share g g,1,1,Neutral,"{""label"": ""Neutral""}"
yasss i m so excited for this tonight folks bst come hang out twitch tv arialthesiren,3,2,Positive,"{""label"": ""Positive""}"
praise and shame for facebook mockpaperscissors com pra,1,2,Positive,"{""label"": ""Positive""}"
our chinese fans will be sad to learn that the matches in china during february and march and being rescheduled pic twitter com hvatcpieov,1,0,Negative,"{""label"": ""Negative""}"
why google sucks google white washes uniformed publics by categorizing bias,0,0,Negative,"{""label"": ""Negative""}"
team jerseyboys is now also represented on twitch welcome our chef of confidence will offer you content from various games like world of warcraft cs go or valorant on twitch click here for the twitch channel tinyurl com y gm h,1,1,Neutral,"{""label"": ""Neutral""}"
a ban for battlefield player gariblak has occurred see details bf db com player ban,3,1,Neutral,"{""label"": ""Neutral""}"
amazon has the coolest shit i never thought i needed so i just purchased these hooks that attach to the passenger seat so that you can hang your purse i m so excited,2,2,Positive,"{""label"": ""Positive""}"
playing red dead redemption oh shit a bear starts running me you can t out run a bear they run like mph him what immediately mauled by bear,1,0,Negative,"{""label"": ""Negative""}"
red dead redemption got me wanting to move to a mother fucking ranch,2,2,Positive,"{""label"": ""Positive""}"
oh shit i got day to finish this fuk,0,0,Negative,"{""label"": ""Negative""}"
i m honestly super hyped for this next season but i m gonna miss old house,2,2,Positive,"{""label"": ""Positive""}"
sometimes the melee just doesn t wanna go for some reason i swear i have had so many times where i m like circling the guy and i just don t get a cqc melee to initiate youtu be ec g tsks,0,1,Neutral,"{""label"": ""Neutral""}"
john legere is up to his old tricks again mocking verizon on social media tech dsmenders com john legere is,3,0,Negative,"{""label"": ""Negative""}"
i love playstation in general they always have my type of exclusives more so than xb but the ps design is not for me at all i know i ll get one eventually but imma hide that thing somehow when i do lol,0,2,Positive,"{""label"": ""Positive""}"
league of legends is honestly the best game ever created,2,2,Positive,"{""label"": ""Positive""}"
remote working and an increase in cloud based data is spurring cyber attacks today sees the publication of the verizon business data breach investigations report which shows that network security is even more important dlvr it rx fdk exetlos,2,1,Neutral,"{""label"": ""Neutral""}"
this has been the worst experience we ve ever had with home depot in wentzville we spent on a bad ass machine with a great year warrenty only to wait for week for it to be dropped off then it doesn t even work nothing can be done until the th,0,0,Negative,"{""label"": ""Negative""}"
i just earned the can t stop won t stop achievement,1,2,Positive,"{""label"": ""Positive""}"
damn microsoft is going all out in showing off the new xbox series x while sony hasn t made a peep theverge com as a playstation guy this thing sounds like a screamer,2,2,Positive,"{""label"": ""Positive""}"
my games crew had a league of legends clash yesterday and this is how all of my texting apps looked like i love these assholes xd pic twitter com nt cfslten,2,2,Positive,"{""label"": ""Positive""}"
buy cs go or tf item off scm enjoy it for week want something else sell that item lose money cuz valve fees buy new item repeat until money gone,1,0,Negative,"{""label"": ""Negative""}"
fortnite is bullying me aren t they i need him pic twitter com q yxuxkfy,0,0,Negative,"{""label"": ""Negative""}"
apple is a no for me they don t innovate anymore,3,0,Negative,"{""label"": ""Negative""}"
damn you really telling me to relapse like common man this shit aint cool,0,0,Negative,"{""label"": ""Negative""}"
i played this interesting quiz on amazon try your luck for a chance to win exciting rewards amazon in game share gvu,1,2,Positive,"{""label"": ""Positive""}"
amazon best sellers best sports collectibles ift tt vpc x vintage football cards in old sealed wax packs perfect for new collectors ift tt re pfb ift tt q pvfw april at am,2,3,Irrelevant,"{""label"": ""Irrelevant""}"
are u crazy gloating as if u r his fan n not a responsible journo sorry expected u change but drummer never change why don t u write a book u worshipper,3,0,Negative,"{""label"": ""Negative""}"
i have problems to buy the battlepass with the new patch,0,0,Negative,"{""label"": ""Negative""}"
toronto is the arts and culture capital of canada it s no wonder if you want to start planning be sure to check out our gta real estate market report for fall it has all the info you need to finally make a move blog remax ca toronto housin twitter com kevinyoufool s,3,1,Neutral,"{""label"": ""Neutral""}"
let me know when they fix the trash copy and paste gameplay,0,0,Negative,"{""label"": ""Negative""}"
some milestones and anniversaries here at the chicopee home depot congratulations ed to years with the company and gaining another gold milestone tim to years with the company and mark for gaining another silver milestone time does fly by when you re having fun pic twitter com dilaa cufx,2,2,Positive,"{""label"": ""Positive""}"
gaming is my hobby and i love it like and follow if your in to th a same pic twitter com tnpzym pvd,2,2,Positive,"{""label"": ""Positive""}"
same game smh pic twitter com qrcv ameqi,0,0,Negative,"{""label"": ""Negative""}"
what the fuck is wrong with u guys,0,0,Negative,"{""label"": ""Negative""}"
this is so cool,2,2,Positive,"{""label"": ""Positive""}"
nice motivational and very accessible nvidia ai product fair related tech talks nvidia com en us gtc keyn interesting interaction social activities braindates dinner with strangers and free attendance for universities reg rainfocus com flow nvidia gt,1,2,Positive,"{""label"": ""Positive""}"
god when,0,3,Irrelevant,"{""label"": ""Irrelevant""}"
not gonna lie that black ops cold war trailer was probably the best cod teaser i have ever seen,2,2,Positive,"{""label"": ""Positive""}"
awesome bonecakes with strawberries and original maple syrup please,3,2,Positive,"{""label"": ""Positive""}"
all my success in the past came from people that don t know a single thing about me time to go back to that audience i m done with facebook not catering to that crowd anymore,0,0,Negative,"{""label"": ""Negative""}"
trust in technology is important at i love the boomerang in the background is sharing technology again and again with new features it s like a boomerang with the community and microsoft pic twitter com suntr x y,2,2,Positive,"{""label"": ""Positive""}"
i m loving all the r and animal crossing crossovers somehow more surprising to me than animal crossing and doom,2,2,Positive,"{""label"": ""Positive""}"
adrian thomas the vice president of the scandal ridden medical and pharmaceutical giant johnson johnson rounded off the group thomas is responsible for pandemic care at j j including the development of vaccines against ebola dengue and hiv and there was also martin,1,3,Irrelevant,"{""label"": ""Irrelevant""}"
love speculative fiction a in this via rafflecopter com rafl display a,1,2,Positive,"{""label"": ""Positive""}"
league of legends taught me to come to terms with my own disappointing third novel,2,0,Negative,"{""label"": ""Negative""}"
worked at macy s worked at chick fil a worked at home depot which one is the lie,1,1,Neutral,"{""label"": ""Neutral""}"
so was playing fifa today,1,1,Neutral,"{""label"": ""Neutral""}"
fuck i missed this,2,0,Negative,"{""label"": ""Negative""}"
it s our pleasure h,3,2,Positive,"{""label"": ""Positive""}"
lmao this country is fvcked up jfc just saw a johnson johnson commercial you know the folks with toxic talc causing cancer talking about how they re working round the clock for a line up folks roll up your sleeves,0,0,Negative,"{""label"": ""Negative""}"
you are not reading this by mistake i can beat you in fifa,3,0,Negative,"{""label"": ""Negative""}"
morning you might not agree with me and i mean no disrespect to anyone but i feel having an international break during this pandemic is a terrible idea i don t understand what the guys at fifa are thinking but its just not right,0,0,Negative,"{""label"": ""Negative""}"
bout to fuck around and stream grind and afterwards mixer com shinobiszn,1,2,Positive,"{""label"": ""Positive""}"
they took my phone number from me thanks i was rey pay the bill yall couldn t jus give me more time tf,0,0,Negative,"{""label"": ""Negative""}"
this is about as far as i can go with it for the time being maybe i will revisit it later sorry pic twitter com iyadyvwmd,1,1,Neutral,"{""label"": ""Neutral""}"
bought a fraction of microsoft today small wins,2,2,Positive,"{""label"": ""Positive""}"
the fact that chris godwin isn t even the highest rated wr from penn state is an absolute travesty,0,0,Negative,"{""label"": ""Negative""}"
going through this right now great reporting by,2,2,Positive,"{""label"": ""Positive""}"
johnson johnson stops selling talc based baby powder in u s and canada standaside us johnson johnso,1,3,Irrelevant,"{""label"": ""Irrelevant""}"
until jul red dead redemption is off amazon ps amzn to yuuab x amzn to smbhgx,1,0,Negative,"{""label"": ""Negative""}"
agree it s also so tiresome to play on and boring to look at i hope when olympus comes they either rotate it out or we don t see it much,1,0,Negative,"{""label"": ""Negative""}"
yo alix or formula i am a big fan and it will mean a lot to be in a vid my fortnite username is fresh ed ts pls add me,3,2,Positive,"{""label"": ""Positive""}"
help me win this awesome cs go giveaway from idle empire wn nr dmjyt,2,2,Positive,"{""label"": ""Positive""}"
absolutely love my amazing sister who has made me this absolutely incredible bookmark pic twitter com wr r u s,1,2,Positive,"{""label"": ""Positive""}"
a truely masterpiece indeed may be the most exciting but this is the most emotional outstanding job to remark the end of an era in gaming history,1,2,Positive,"{""label"": ""Positive""}"
johnson johnson pauses covid vaccine trial over patient exhibiting an unexplained illness twitter com i events,1,0,Negative,"{""label"": ""Negative""}"
one of the best kpop moments was at isac when all those kpop groups came together and just played a massive fuck off game of pubg tell me that wasn t iconic,1,2,Positive,"{""label"": ""Positive""}"
it s ridiculous and embarrassing how unplayable is when there s any form of lag,0,0,Negative,"{""label"": ""Negative""}"
just don t know why doesnt seem to care about asia servers the most they care for every single server region yet not asia ppl from south east asia are having such bad ping fighting japanese with ping while epic just fucks with this new,0,0,Negative,"{""label"": ""Negative""}"
my admiration for this artist grows every year just beautiful daughter of the sea world of warcraft acoustic cover by malukah youtu be m oi ahw s via,3,2,Positive,"{""label"": ""Positive""}"
squadwipe turn n burn pic twitter com leg gbd j,1,1,Neutral,"{""label"": ""Neutral""}"
just so god damn beautiful pic twitter com n qkprftj,2,2,Positive,"{""label"": ""Positive""}"
very interesting read i agree more women should have careers in cybersecurity are women better at cybersecurity than men what a study showed about password security and more bit ly fdk k,3,2,Positive,"{""label"": ""Positive""}"
see this the mess i m talking about smh tryna play before i head into work ugh now i gotta wait instagram com p cfkowbifdrv,2,0,Negative,"{""label"": ""Negative""}"
this looks like a poster for a s action movie and i love every damn bit of it,2,2,Positive,"{""label"": ""Positive""}"
sigh you re a god damn idiot,3,0,Negative,"{""label"": ""Negative""}"
don t understand why they port this instead of gtav on switch it ll look much better,0,1,Neutral,"{""label"": ""Neutral""}"
i wanna do this shit,2,0,Negative,"{""label"": ""Negative""}"
finnish cs go player jamppi sues valve over alleged vac ban talkesport bit ly bycjrt,1,3,Irrelevant,"{""label"": ""Irrelevant""}"
just lost a game of league of legends bc my pc just restarted without even asking it kanker windows,1,0,Negative,"{""label"": ""Negative""}"
friendship ended with mibr now furia is my best friend,3,0,Negative,"{""label"": ""Negative""}"
cyberpunk outrage blows up cd projekt red devs dispute call out crunch story misinformation buff ly nw z p,1,0,Negative,"{""label"": ""Negative""}"
yo the new event on pubg is weird,3,0,Negative,"{""label"": ""Negative""}"
why do parents freak out so much when someone they don t know adds them on facebook,3,1,Neutral,"{""label"": ""Neutral""}"
servers where they at tired of getting disconnected from every single game pic twitter com ls imc ki,0,0,Negative,"{""label"": ""Negative""}"
so much for draenor flying,1,0,Negative,"{""label"": ""Negative""}"
super eagles move up four places in february fifa rankings best jamusic com ng sports super e,3,2,Positive,"{""label"": ""Positive""}"
watching vids always hype me up letsa goo,1,2,Positive,"{""label"": ""Positive""}"
trippy store playstation com en us tid c,1,1,Neutral,"{""label"": ""Neutral""}"
by far my best stream without a raid we were hovering around viewers for about an hour and gained a boat load of follows much love pic twitter com ontb ufaj,3,2,Positive,"{""label"": ""Positive""}"
i won achievements in red dead redemption for trueachievement pts trueachievements com gamer yoneko,2,2,Positive,"{""label"": ""Positive""}"
call of duty modern warfare and the problem with its child soldier level newsychronicles com p utm so,1,0,Negative,"{""label"": ""Negative""}"
how do i submit a complaint your ceo isn t paying his staff their bonuses,0,0,Negative,"{""label"": ""Negative""}"
i ll never understand how people enjoy overwatch,0,0,Negative,"{""label"": ""Negative""}"
i m done bro all my stuff got corrupt and i m downloading game updates now,0,0,Negative,"{""label"": ""Negative""}"
and i cant even get a lvl battle pass life is unfair,0,0,Negative,"{""label"": ""Negative""}"
with johnson johnson baby powder still being available in some markets we want to alert you of the damages that these talc based products may cause learn more about j j s lawsuit bit ly gnsdna,0,0,Negative,"{""label"": ""Negative""}"
can you explain this bullshit thanks pic twitter com wel cu knz,0,0,Negative,"{""label"": ""Negative""}"
big news numerous great companies are seeing fantastic results must move quickly twitter com nytimes status,1,2,Positive,"{""label"": ""Positive""}"
why does it have three versions wtf,0,0,Negative,"{""label"": ""Negative""}"
pretty cool to see the next gen games being announced and stuff i m more excited to see how the official and logos look on marketing graphs,2,2,Positive,"{""label"": ""Positive""}"
man this some gta shit lol,1,1,Neutral,"{""label"": ""Neutral""}"
johnson johnson to stop selling baby powder in us the firm faces thousands of lawsuits that its talc products caused cancer it said in oct that its testing had found no asbestos in its baby powder after tests conducted by usfda discovered trace amounts bbc co uk news business,1,1,Neutral,"{""label"": ""Neutral""}"
the oga dota pit season europe cis looks like it is going to be one heck of a tournament with some of the best teams in europe competing in it afkgaming com articles dota,1,2,Positive,"{""label"": ""Positive""}"
enough of this dlc bullshit just give us a new splinter cell video game,0,0,Negative,"{""label"": ""Negative""}"
suspicion and anger towards microsoft rises after windows search failure tech slashdot org story even local file searches on users own pc s were failing yet microsoft blamed a third party networking fiber provider,0,0,Negative,"{""label"": ""Negative""}"
